Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.37              0.00             3.37               17.33    
0.14            0.24             0.00              0.00             0.38               17.71    
0.10            0.13             0.00              0.00             0.23               17.94    
0.07            0.07             0.00              0.00             0.14               18.08    
0.04            0.06             0.00              0.00             0.10               18.18    
0.03            0.06             0.00              0.00             0.09               18.27    
0.03            0.09             0.00              0.00             0.12               18.39    
0.04            0.06             0.00              0.00             0.10               18.49    
0.02            0.02             0.00              0.00             0.04               18.53    
0.02            0.02             0.00              0.00             0.04               18.57    
0.04            0.03             0.00              0.00             0.07               18.64    
0.01            0.02             0.00              0.00             0.03               18.67    
0.01            0.02             0.00              0.00             0.03               18.70    
0.01            0.02             0.00              0.00             0.03               18.73    
0.05            0.02             0.00              0.00             0.07               18.80    
0.01            0.02             0.00              0.00             0.03               18.83    
0.00            0.00             0.00              2.19             2.19               21.02    
