Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             62.70             0.00             62.70              204.72   
0.15            0.30             0.00              0.00             0.45               205.17   
0.22            0.13             0.00              0.00             0.35               205.52   
0.07            0.10             0.00              0.00             0.17               205.69   
0.06            0.10             0.00              0.00             0.16               205.85   
0.06            0.18             0.00              0.00             0.24               206.09   
0.07            0.10             0.00              0.00             0.17               206.26   
0.05            0.20             0.00              0.00             0.25               206.51   
0.06            0.10             0.00              0.00             0.16               206.67   
0.04            0.13             0.00              0.00             0.17               206.84   
0.03            0.05             0.00              0.00             0.08               206.92   
0.03            0.07             0.00              0.00             0.10               207.02   
0.03            0.04             0.00              0.00             0.07               207.09   
0.02            0.07             0.00              0.00             0.09               207.18   
0.05            0.04             0.00              0.00             0.09               207.27   
0.02            0.04             0.00              0.00             0.06               207.33   
0.02            0.05             0.00              0.00             0.07               207.40   
0.03            0.07             0.00              0.00             0.10               207.50   
0.03            0.04             0.00              0.00             0.07               207.57   
0.02            0.05             0.00              0.00             0.07               207.64   
0.03            0.05             0.00              0.00             0.08               207.72   
0.05            0.12             0.00              0.00             0.17               207.89   
0.03            0.09             0.00              0.00             0.12               208.01   
0.03            0.04             0.00              0.00             0.07               208.08   
0.02            0.07             0.00              0.00             0.09               208.17   
0.03            0.12             0.00              0.00             0.15               208.32   
0.03            0.04             0.00              0.00             0.07               208.39   
0.02            0.02             0.00              0.00             0.04               208.43   
0.02            0.04             0.00              0.00             0.06               208.49   
0.03            0.02             0.00              0.00             0.05               208.54   
0.06            0.02             0.00              0.00             0.08               208.62   
0.05            0.02             0.00              0.00             0.07               208.69   
0.06            0.02             0.00              0.00             0.08               208.77   
0.06            0.02             0.00              0.00             0.08               208.85   
0.07            0.03             0.00              0.00             0.10               208.95   
0.07            0.02             0.00              0.00             0.09               209.04   
0.07            0.02             0.00              0.00             0.09               209.13   
0.00            0.00             0.00              4.41             4.41               213.54   
