Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             79.09             0.00             79.09              260.55   
0.16            0.39             0.00              0.00             0.55               261.10   
0.16            0.24             0.00              0.00             0.40               261.50   
0.13            0.12             0.00              0.00             0.25               261.75   
0.07            0.15             0.00              0.00             0.22               261.97   
0.06            0.22             0.00              0.00             0.28               262.25   
0.10            0.11             0.00              0.00             0.21               262.46   
0.04            0.09             0.00              0.00             0.13               262.59   
0.06            0.12             0.00              0.00             0.18               262.77   
0.05            0.21             0.00              0.00             0.26               263.03   
0.05            0.08             0.00              0.00             0.13               263.16   
0.02            0.06             0.00              0.00             0.08               263.24   
0.03            0.05             0.00              0.00             0.08               263.32   
0.03            0.05             0.00              0.00             0.08               263.40   
0.03            0.17             0.00              0.00             0.20               263.60   
0.07            0.05             0.00              0.00             0.12               263.72   
0.02            0.06             0.00              0.00             0.08               263.80   
0.02            0.05             0.00              0.00             0.07               263.87   
0.02            0.05             0.00              0.00             0.07               263.94   
0.03            0.06             0.00              0.00             0.09               264.03   
0.02            0.05             0.00              0.00             0.07               264.10   
0.03            0.06             0.00              0.00             0.09               264.19   
0.03            0.19             0.00              0.00             0.22               264.41   
0.09            0.05             0.00              0.00             0.14               264.55   
0.02            0.05             0.00              0.00             0.07               264.62   
0.02            0.05             0.00              0.00             0.07               264.69   
0.02            0.05             0.00              0.00             0.07               264.76   
0.02            0.07             0.00              0.00             0.09               264.85   
0.02            0.06             0.00              0.00             0.08               264.93   
0.02            0.07             0.00              0.00             0.09               265.02   
0.02            0.06             0.00              0.00             0.08               265.10   
0.02            0.03             0.00              0.00             0.05               265.15   
0.02            0.02             0.00              0.00             0.04               265.19   
0.03            0.02             0.00              0.00             0.05               265.24   
0.06            0.03             0.00              0.00             0.09               265.33   
0.06            0.02             0.00              0.00             0.08               265.41   
0.06            0.02             0.00              0.00             0.08               265.49   
0.07            0.03             0.00              0.00             0.10               265.59   
0.07            0.02             0.00              0.00             0.09               265.68   
0.10            0.04             0.00              0.00             0.14               265.82   
0.09            0.02             0.00              0.00             0.11               265.93   
0.09            0.03             0.00              0.00             0.12               266.05   
0.11            0.03             0.00              0.00             0.14               266.19   
0.00            0.00             0.00              5.82             5.82               272.01   
