Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             17.63             0.00             17.63              91.26    
0.30            0.35             0.00              0.00             0.65               91.91    
0.12            0.25             0.00              0.00             0.37               92.28    
0.08            0.23             0.00              0.00             0.31               92.59    
0.08            0.15             0.00              0.00             0.23               92.82    
0.05            0.41             0.00              0.00             0.46               93.28    
0.16            0.18             0.00              0.00             0.34               93.62    
0.07            0.15             0.00              0.00             0.22               93.84    
0.05            0.36             0.00              0.00             0.41               94.25    
0.15            0.14             0.00              0.00             0.29               94.54    
0.04            0.40             0.00              0.00             0.44               94.98    
0.15            0.32             0.00              0.00             0.47               95.45    
0.14            0.12             0.00              0.00             0.26               95.71    
0.03            0.11             0.00              0.00             0.14               95.85    
0.03            0.10             0.00              0.00             0.13               95.98    
0.02            0.11             0.00              0.00             0.13               96.11    
0.02            0.11             0.00              0.00             0.13               96.24    
0.02            0.13             0.00              0.00             0.15               96.39    
0.02            0.11             0.00              0.00             0.13               96.52    
0.02            0.12             0.00              0.00             0.14               96.66    
0.04            0.32             0.00              0.00             0.36               97.02    
0.16            0.31             0.00              0.00             0.47               97.49    
0.15            0.09             0.00              0.00             0.24               97.73    
0.03            0.09             0.00              0.00             0.12               97.85    
0.02            0.08             0.00              0.00             0.10               97.95    
0.02            0.08             0.00              0.00             0.10               98.05    
0.02            0.08             0.00              0.00             0.10               98.15    
0.06            0.08             0.00              0.00             0.14               98.29    
0.06            0.08             0.00              0.00             0.14               98.43    
0.04            0.30             0.00              0.00             0.34               98.77    
0.09            0.10             0.00              0.00             0.19               98.96    
0.11            0.09             0.00              0.00             0.20               99.16    
0.08            0.09             0.00              0.00             0.17               99.33    
0.08            0.09             0.00              0.00             0.17               99.50    
0.07            0.10             0.00              0.00             0.17               99.67    
0.08            0.11             0.00              0.00             0.19               99.86    
0.08            0.09             0.00              0.00             0.17               100.03   
0.08            0.06             0.00              0.00             0.14               100.17   
0.02            0.06             0.00              0.00             0.08               100.25   
0.04            0.06             0.00              0.00             0.10               100.35   
0.09            0.06             0.00              0.00             0.15               100.50   
0.09            0.06             0.00              0.00             0.15               100.65   
0.05            0.06             0.00              0.00             0.11               100.76   
0.05            0.07             0.00              0.00             0.12               100.88   
0.05            0.28             0.00              0.00             0.33               101.21   
0.22            0.07             0.00              0.00             0.29               101.50   
0.05            0.06             0.00              0.00             0.11               101.61   
0.10            0.07             0.00              0.00             0.17               101.78   
0.05            0.06             0.00              0.00             0.11               101.89   
0.05            0.06             0.00              0.00             0.11               102.00   
0.05            0.06             0.00              0.00             0.11               102.11   
0.05            0.06             0.00              0.00             0.11               102.22   
0.11            0.06             0.00              0.00             0.17               102.39   
0.05            0.07             0.00              0.00             0.12               102.51   
0.05            0.06             0.00              0.00             0.11               102.62   
0.04            0.06             0.00              0.00             0.10               102.72   
0.05            0.06             0.00              0.00             0.11               102.83   
0.05            0.06             0.00              0.00             0.11               102.94   
0.12            0.06             0.00              0.00             0.18               103.12   
0.05            0.03             0.00              0.00             0.08               103.20   
0.01            0.03             0.00              0.00             0.04               103.24   
0.12            0.03             0.00              0.00             0.15               103.39   
0.12            0.03             0.00              0.00             0.15               103.54   
0.01            0.03             0.00              0.00             0.04               103.58   
0.00            0.00             0.00              6.77             6.77               110.35   
