Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.84              0.00             3.84               18.70    
0.16            0.25             0.00              0.00             0.41               19.11    
0.11            0.13             0.00              0.00             0.24               19.35    
0.07            0.06             0.00              0.00             0.13               19.48    
0.03            0.10             0.00              0.00             0.13               19.61    
0.06            0.07             0.00              0.00             0.13               19.74    
0.02            0.05             0.00              0.00             0.07               19.81    
0.02            0.06             0.00              0.00             0.08               19.89    
0.03            0.02             0.00              0.00             0.05               19.94    
0.02            0.02             0.00              0.00             0.04               19.98    
0.01            0.02             0.00              0.00             0.03               20.01    
0.03            0.03             0.00              0.00             0.06               20.07    
0.01            0.02             0.00              0.00             0.03               20.10    
0.01            0.02             0.00              0.00             0.03               20.13    
0.04            0.02             0.00              0.00             0.06               20.19    
0.01            0.02             0.00              0.00             0.03               20.22    
0.00            0.00             0.00              2.11             2.11               22.33    
