Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             90.76             0.00             90.76              6764.97  
0.80            2.39             0.00              0.00             3.19               6768.16  
1.13            1.95             0.00              0.00             3.08               6771.24  
1.13            0.68             0.00              0.00             1.81               6773.05  
0.39            0.66             0.00              0.00             1.05               6774.10  
0.36            0.70             0.00              0.00             1.06               6775.16  
0.38            1.55             0.00              0.00             1.93               6777.09  
0.85            1.87             0.00              0.00             2.72               6779.81  
0.96            0.62             0.00              0.00             1.58               6781.39  
0.32            0.66             0.00              0.00             0.98               6782.37  
0.30            1.40             0.00              0.00             1.70               6784.07  
0.68            0.64             0.00              0.00             1.32               6785.39  
0.25            0.68             0.00              0.00             0.93               6786.32  
0.27            1.43             0.00              0.00             1.70               6788.02  
0.62            0.61             0.00              0.00             1.23               6789.25  
0.21            0.57             0.00              0.00             0.78               6790.03  
0.19            1.39             0.00              0.00             1.58               6791.61  
0.55            1.40             0.00              0.00             1.95               6793.56  
0.50            0.52             0.00              0.00             1.02               6794.58  
0.07            0.59             0.00              0.00             0.66               6795.24  
0.07            0.49             0.00              0.00             0.56               6795.80  
0.08            0.49             0.00              0.00             0.57               6796.37  
0.07            0.50             0.00              0.00             0.57               6796.94  
0.07            0.51             0.00              0.00             0.58               6797.52  
0.07            0.53             0.00              0.00             0.60               6798.12  
0.07            0.49             0.00              0.00             0.56               6798.68  
0.30            0.50             0.00              0.00             0.80               6799.48  
0.32            0.57             0.00              0.00             0.89               6800.37  
0.30            0.51             0.00              0.00             0.81               6801.18  
0.30            0.51             0.00              0.00             0.81               6801.99  
0.31            0.57             0.00              0.00             0.88               6802.87  
0.32            0.56             0.00              0.00             0.88               6803.75  
0.35            0.54             0.00              0.00             0.89               6804.64  
0.34            0.55             0.00              0.00             0.89               6805.53  
0.37            1.17             0.00              0.00             1.54               6807.07  
0.53            0.56             0.00              0.00             1.09               6808.16  
0.28            0.53             0.00              0.00             0.81               6808.97  
