Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             9.33              0.00             9.33               41.25    
0.26            0.37             0.00              0.00             0.63               41.88    
0.16            0.10             0.00              0.00             0.26               42.14    
0.05            0.09             0.00              0.00             0.14               42.28    
0.05            0.09             0.00              0.00             0.14               42.42    
0.06            0.10             0.00              0.00             0.16               42.58    
0.06            0.19             0.00              0.00             0.25               42.83    
0.07            0.19             0.00              0.00             0.26               43.09    
0.08            0.07             0.00              0.00             0.15               43.24    
0.02            0.07             0.00              0.00             0.09               43.33    
0.02            0.06             0.00              0.00             0.08               43.41    
0.02            0.03             0.00              0.00             0.05               43.46    
0.02            0.03             0.00              0.00             0.05               43.51    
0.01            0.03             0.00              0.00             0.04               43.55    
0.03            0.02             0.00              0.00             0.05               43.60    
0.01            0.02             0.00              0.00             0.03               43.63    
0.08            0.04             0.00              0.00             0.12               43.75    
0.01            0.03             0.00              0.00             0.04               43.79    
0.01            0.02             0.00              0.00             0.03               43.82    
0.06            0.02             0.00              0.00             0.08               43.90    
0.02            0.03             0.00              0.00             0.05               43.95    
0.06            0.02             0.00              0.00             0.08               44.03    
0.02            0.02             0.00              0.00             0.04               44.07    
0.07            0.03             0.00              0.00             0.10               44.17    
0.01            0.02             0.00              0.00             0.03               44.20    
0.00            0.00             0.00              3.53             3.53               47.73    
