Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             7.71              0.00             7.71               32.00    
0.15            0.19             0.00              0.00             0.34               32.34    
0.10            0.10             0.00              0.00             0.20               32.54    
0.06            0.16             0.00              0.00             0.22               32.76    
0.07            0.08             0.00              0.00             0.15               32.91    
0.04            0.11             0.00              0.00             0.15               33.06    
0.04            0.07             0.00              0.00             0.11               33.17    
0.03            0.08             0.00              0.00             0.11               33.28    
0.02            0.04             0.00              0.00             0.06               33.34    
0.03            0.06             0.00              0.00             0.09               33.43    
0.03            0.03             0.00              0.00             0.06               33.49    
0.03            0.07             0.00              0.00             0.10               33.59    
0.04            0.07             0.00              0.00             0.11               33.70    
0.04            0.07             0.00              0.00             0.11               33.81    
0.04            0.04             0.00              0.00             0.08               33.89    
0.02            0.03             0.00              0.00             0.05               33.94    
0.02            0.03             0.00              0.00             0.05               33.99    
0.02            0.03             0.00              0.00             0.05               34.04    
0.02            0.04             0.00              0.00             0.06               34.10    
0.02            0.02             0.00              0.00             0.04               34.14    
0.02            0.02             0.00              0.00             0.04               34.18    
0.03            0.02             0.00              0.00             0.05               34.23    
0.04            0.02             0.00              0.00             0.06               34.29    
0.04            0.02             0.00              0.00             0.06               34.35    
0.05            0.02             0.00              0.00             0.07               34.42    
0.00            0.00             0.00              2.38             2.38               36.80    
