Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             1.72              0.02             1.74               8.69     
0.09            0.02             0.00              0.00             0.11               8.80     
0.03            0.02             0.00              0.00             0.05               8.85     
0.02            0.01             0.00              0.00             0.03               8.88     
0.02            0.00             0.00              0.00             0.02               8.90     
0.00            0.00             0.00              1.34             1.34               10.24    
