Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             83.35             0.00             83.35              887.16   
0.15            0.39             0.00              0.00             0.54               887.70   
0.15            0.12             0.00              0.00             0.27               887.97   
0.07            0.11             0.00              0.00             0.18               888.15   
0.07            0.11             0.00              0.00             0.18               888.33   
0.07            0.21             0.00              0.00             0.28               888.61   
0.09            0.12             0.00              0.00             0.21               888.82   
0.06            0.20             0.00              0.00             0.26               889.08   
0.08            0.22             0.00              0.00             0.30               889.38   
0.07            0.09             0.00              0.00             0.16               889.54   
0.03            0.08             0.00              0.00             0.11               889.65   
0.02            0.06             0.00              0.00             0.08               889.73   
0.04            0.07             0.00              0.00             0.11               889.84   
0.03            0.08             0.00              0.00             0.11               889.95   
0.02            0.06             0.00              0.00             0.08               890.03   
0.03            0.07             0.00              0.00             0.10               890.13   
0.04            0.04             0.00              0.00             0.08               890.21   
0.02            0.05             0.00              0.00             0.07               890.28   
0.03            0.06             0.00              0.00             0.09               890.37   
0.03            0.06             0.00              0.00             0.09               890.46   
0.03            0.05             0.00              0.00             0.08               890.54   
0.03            0.17             0.00              0.00             0.20               890.74   
0.06            0.05             0.00              0.00             0.11               890.85   
0.02            0.04             0.00              0.00             0.06               890.91   
0.02            0.08             0.00              0.00             0.10               891.01   
0.04            0.04             0.00              0.00             0.08               891.09   
0.02            0.05             0.00              0.00             0.07               891.16   
0.03            0.16             0.00              0.00             0.19               891.35   
0.05            0.05             0.00              0.00             0.10               891.45   
0.03            0.07             0.00              0.00             0.10               891.55   
0.02            0.06             0.00              0.00             0.08               891.63   
0.02            0.03             0.00              0.00             0.05               891.68   
0.02            0.02             0.00              0.00             0.04               891.72   
0.04            0.02             0.00              0.00             0.06               891.78   
0.05            0.02             0.00              0.00             0.07               891.85   
0.05            0.02             0.00              0.00             0.07               891.92   
0.06            0.02             0.00              0.00             0.08               892.00   
0.07            0.02             0.00              0.00             0.09               892.09   
0.07            0.02             0.00              0.00             0.09               892.18   
0.08            0.03             0.00              0.00             0.11               892.29   
0.10            0.02             0.00              0.00             0.12               892.41   
0.10            0.02             0.00              0.00             0.12               892.53   
0.11            0.02             0.00              0.00             0.13               892.66   
0.00            0.00             0.00              0.18             0.18               892.84   
