Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             62.50             0.00             62.50              664.58   
0.15            0.31             0.00              0.00             0.46               665.04   
0.14            0.12             0.00              0.00             0.26               665.30   
0.07            0.17             0.00              0.00             0.24               665.54   
0.10            0.10             0.00              0.00             0.20               665.74   
0.05            0.11             0.00              0.00             0.16               665.90   
0.05            0.09             0.00              0.00             0.14               666.04   
0.05            0.16             0.00              0.00             0.21               666.25   
0.07            0.21             0.00              0.00             0.28               666.53   
0.05            0.08             0.00              0.00             0.13               666.66   
0.03            0.05             0.00              0.00             0.08               666.74   
0.03            0.05             0.00              0.00             0.08               666.82   
0.03            0.06             0.00              0.00             0.09               666.91   
0.02            0.05             0.00              0.00             0.07               666.98   
0.03            0.05             0.00              0.00             0.08               667.06   
0.03            0.14             0.00              0.00             0.17               667.23   
0.06            0.04             0.00              0.00             0.10               667.33   
0.02            0.04             0.00              0.00             0.06               667.39   
0.02            0.05             0.00              0.00             0.07               667.46   
0.03            0.06             0.00              0.00             0.09               667.55   
0.02            0.07             0.00              0.00             0.09               667.64   
0.04            0.05             0.00              0.00             0.09               667.73   
0.02            0.07             0.00              0.00             0.09               667.82   
0.03            0.04             0.00              0.00             0.07               667.89   
0.02            0.13             0.00              0.00             0.15               668.04   
0.04            0.04             0.00              0.00             0.08               668.12   
0.02            0.07             0.00              0.00             0.09               668.21   
0.02            0.02             0.00              0.00             0.04               668.25   
0.02            0.02             0.00              0.00             0.04               668.29   
0.03            0.02             0.00              0.00             0.05               668.34   
0.05            0.02             0.00              0.00             0.07               668.41   
0.05            0.02             0.00              0.00             0.07               668.48   
0.07            0.02             0.00              0.00             0.09               668.57   
0.06            0.02             0.00              0.00             0.08               668.65   
0.07            0.02             0.00              0.00             0.09               668.74   
0.07            0.02             0.00              0.00             0.09               668.83   
0.08            0.02             0.00              0.00             0.10               668.93   
0.00            0.00             0.00              0.14             0.14               669.07   
