Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             12.68             0.00             12.68              170.80   
0.21            0.33             0.00              0.00             0.54               171.34   
0.14            0.12             0.00              0.00             0.26               171.60   
0.07            0.22             0.00              0.00             0.29               171.89   
0.12            0.11             0.00              0.00             0.23               172.12   
0.07            0.19             0.00              0.00             0.26               172.38   
0.07            0.10             0.00              0.00             0.17               172.55   
0.04            0.10             0.00              0.00             0.14               172.69   
0.04            0.09             0.00              0.00             0.13               172.82   
0.04            0.14             0.00              0.00             0.18               173.00   
0.03            0.06             0.00              0.00             0.09               173.09   
0.04            0.07             0.00              0.00             0.11               173.20   
0.04            0.05             0.00              0.00             0.09               173.29   
0.02            0.16             0.00              0.00             0.18               173.47   
0.08            0.07             0.00              0.00             0.15               173.62   
0.04            0.07             0.00              0.00             0.11               173.73   
0.04            0.07             0.00              0.00             0.11               173.84   
0.04            0.09             0.00              0.00             0.13               173.97   
0.05            0.13             0.00              0.00             0.18               174.15   
0.03            0.04             0.00              0.00             0.07               174.22   
0.03            0.04             0.00              0.00             0.07               174.29   
0.02            0.05             0.00              0.00             0.07               174.36   
0.02            0.04             0.00              0.00             0.06               174.42   
0.02            0.04             0.00              0.00             0.06               174.48   
0.02            0.05             0.00              0.00             0.07               174.55   
0.02            0.04             0.00              0.00             0.06               174.61   
0.02            0.04             0.00              0.00             0.06               174.67   
0.02            0.02             0.00              0.00             0.04               174.71   
0.02            0.02             0.00              0.00             0.04               174.75   
0.04            0.02             0.00              0.00             0.06               174.81   
0.05            0.02             0.00              0.00             0.07               174.88   
0.05            0.02             0.00              0.00             0.07               174.95   
0.06            0.02             0.00              0.00             0.08               175.03   
0.06            0.02             0.00              0.00             0.08               175.11   
0.07            0.04             0.00              0.00             0.11               175.22   
0.08            0.02             0.00              0.00             0.10               175.32   
0.08            0.02             0.00              0.00             0.10               175.42   
0.00            0.00             0.00              0.15             0.15               175.57   
