Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             4.75              0.00             4.75               74.47    
0.17            0.28             0.00              0.00             0.45               74.92    
0.12            0.16             0.00              0.00             0.28               75.20    
0.09            0.08             0.00              0.00             0.17               75.37    
0.05            0.13             0.00              0.00             0.18               75.55    
0.07            0.06             0.00              0.00             0.13               75.68    
0.03            0.06             0.00              0.00             0.09               75.77    
0.03            0.07             0.00              0.00             0.10               75.87    
0.02            0.03             0.00              0.00             0.05               75.92    
0.02            0.02             0.00              0.00             0.04               75.96    
0.02            0.02             0.00              0.00             0.04               76.00    
0.05            0.02             0.00              0.00             0.07               76.07    
0.02            0.02             0.00              0.00             0.04               76.11    
0.02            0.03             0.00              0.00             0.05               76.16    
0.06            0.02             0.00              0.00             0.08               76.24    
0.02            0.03             0.00              0.00             0.05               76.29    
0.00            0.00             0.00              0.12             0.12               76.41    
