Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             21.23             0.00             21.23              305.57   
0.26            0.47             0.00              0.00             0.73               306.30   
0.20            0.15             0.00              0.00             0.35               306.65   
0.08            0.14             0.00              0.00             0.22               306.87   
0.08            0.34             0.00              0.00             0.42               307.29   
0.16            0.26             0.00              0.00             0.42               307.71   
0.12            0.12             0.00              0.00             0.24               307.95   
0.04            0.11             0.00              0.00             0.15               308.10   
0.04            0.11             0.00              0.00             0.15               308.25   
0.04            0.11             0.00              0.00             0.15               308.40   
0.04            0.27             0.00              0.00             0.31               308.71   
0.06            0.11             0.00              0.00             0.17               308.88   
0.05            0.11             0.00              0.00             0.16               309.04   
0.06            0.10             0.00              0.00             0.16               309.20   
0.04            0.05             0.00              0.00             0.09               309.29   
0.02            0.06             0.00              0.00             0.08               309.37   
0.04            0.10             0.00              0.00             0.14               309.51   
0.05            0.07             0.00              0.00             0.12               309.63   
0.02            0.10             0.00              0.00             0.12               309.75   
0.05            0.30             0.00              0.00             0.35               310.10   
0.14            0.10             0.00              0.00             0.24               310.34   
0.05            0.09             0.00              0.00             0.14               310.48   
0.04            0.10             0.00              0.00             0.14               310.62   
0.02            0.13             0.00              0.00             0.15               310.77   
0.05            0.24             0.00              0.00             0.29               311.06   
0.23            0.07             0.00              0.00             0.30               311.36   
0.05            0.07             0.00              0.00             0.12               311.48   
0.04            0.21             0.00              0.00             0.25               311.73   
0.14            0.06             0.00              0.00             0.20               311.93   
0.05            0.05             0.00              0.00             0.10               312.03   
0.07            0.06             0.00              0.00             0.13               312.16   
0.05            0.08             0.00              0.00             0.13               312.29   
0.10            0.08             0.00              0.00             0.18               312.47   
0.07            0.08             0.00              0.00             0.15               312.62   
0.07            0.08             0.00              0.00             0.15               312.77   
0.07            0.10             0.00              0.00             0.17               312.94   
0.08            0.07             0.00              0.00             0.15               313.09   
0.06            0.03             0.00              0.00             0.09               313.18   
0.02            0.06             0.00              0.00             0.08               313.26   
0.02            0.04             0.00              0.00             0.06               313.32   
0.03            0.07             0.00              0.00             0.10               313.42   
0.04            0.05             0.00              0.00             0.09               313.51   
0.03            0.07             0.00              0.00             0.10               313.61   
0.04            0.05             0.00              0.00             0.09               313.70   
0.02            0.07             0.00              0.00             0.09               313.79   
0.05            0.08             0.00              0.00             0.13               313.92   
0.02            0.07             0.00              0.00             0.09               314.01   
0.10            0.21             0.00              0.00             0.31               314.32   
0.27            0.07             0.00              0.00             0.34               314.66   
0.03            0.06             0.00              0.00             0.09               314.75   
0.02            0.06             0.00              0.00             0.08               314.83   
0.02            0.03             0.00              0.00             0.05               314.88   
0.01            0.03             0.00              0.00             0.04               314.92   
0.01            0.03             0.00              0.00             0.04               314.96   
0.04            0.03             0.00              0.00             0.07               315.03   
0.10            0.03             0.00              0.00             0.13               315.16   
0.02            0.03             0.00              0.00             0.05               315.21   
0.10            0.03             0.00              0.00             0.13               315.34   
0.11            0.03             0.00              0.00             0.14               315.48   
0.12            0.03             0.00              0.00             0.15               315.63   
0.02            0.03             0.00              0.00             0.05               315.68   
0.00            0.00             0.00              0.08             0.08               315.76   
