Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             8.93              0.00             8.93               106.86   
0.30            0.07             0.00              0.00             0.37               107.23   
0.11            0.09             0.00              0.00             0.20               107.43   
0.07            0.07             0.00              0.00             0.14               107.57   
0.06            0.07             0.00              0.00             0.13               107.70   
0.05            0.05             0.00              0.00             0.10               107.80   
0.05            0.03             0.00              0.00             0.08               107.88   
0.04            0.03             0.00              0.00             0.07               107.95   
0.04            0.01             0.00              0.00             0.05               108.00   
0.00            0.00             0.00              0.22             0.22               108.22   
