Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             63.27             0.00             63.27              675.31   
0.15            0.31             0.00              0.00             0.46               675.77   
0.14            0.19             0.00              0.00             0.33               676.10   
0.10            0.10             0.00              0.00             0.20               676.30   
0.06            0.10             0.00              0.00             0.16               676.46   
0.05            0.12             0.00              0.00             0.17               676.63   
0.06            0.08             0.00              0.00             0.14               676.77   
0.09            0.19             0.00              0.00             0.28               677.05   
0.07            0.09             0.00              0.00             0.16               677.21   
0.05            0.13             0.00              0.00             0.18               677.39   
0.03            0.05             0.00              0.00             0.08               677.47   
0.04            0.06             0.00              0.00             0.10               677.57   
0.04            0.05             0.00              0.00             0.09               677.66   
0.03            0.13             0.00              0.00             0.16               677.82   
0.06            0.04             0.00              0.00             0.10               677.92   
0.02            0.04             0.00              0.00             0.06               677.98   
0.02            0.07             0.00              0.00             0.09               678.07   
0.04            0.04             0.00              0.00             0.08               678.15   
0.02            0.07             0.00              0.00             0.09               678.24   
0.04            0.04             0.00              0.00             0.08               678.32   
0.02            0.07             0.00              0.00             0.09               678.41   
0.04            0.07             0.00              0.00             0.11               678.52   
0.02            0.08             0.00              0.00             0.10               678.62   
0.05            0.04             0.00              0.00             0.09               678.71   
0.02            0.15             0.00              0.00             0.17               678.88   
0.05            0.07             0.00              0.00             0.12               679.00   
0.03            0.05             0.00              0.00             0.08               679.08   
0.02            0.02             0.00              0.00             0.04               679.12   
0.02            0.02             0.00              0.00             0.04               679.16   
0.03            0.02             0.00              0.00             0.05               679.21   
0.05            0.02             0.00              0.00             0.07               679.28   
0.05            0.02             0.00              0.00             0.07               679.35   
0.06            0.02             0.00              0.00             0.08               679.43   
0.06            0.03             0.00              0.00             0.09               679.52   
0.07            0.02             0.00              0.00             0.09               679.61   
0.08            0.02             0.00              0.00             0.10               679.71   
0.08            0.02             0.00              0.00             0.10               679.81   
0.00            0.00             0.00              0.14             0.14               679.95   
