Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             7.69              0.00             7.69               109.58   
0.16            0.37             0.00              0.00             0.53               110.11   
0.16            0.11             0.00              0.00             0.27               110.38   
0.06            0.24             0.00              0.00             0.30               110.68   
0.12            0.09             0.00              0.00             0.21               110.89   
0.04            0.08             0.00              0.00             0.12               111.01   
0.04            0.08             0.00              0.00             0.12               111.13   
0.04            0.22             0.00              0.00             0.26               111.39   
0.08            0.09             0.00              0.00             0.17               111.56   
0.03            0.07             0.00              0.00             0.10               111.66   
0.03            0.07             0.00              0.00             0.10               111.76   
0.02            0.03             0.00              0.00             0.05               111.81   
0.02            0.02             0.00              0.00             0.04               111.85   
0.04            0.02             0.00              0.00             0.06               111.91   
0.05            0.02             0.00              0.00             0.07               111.98   
0.06            0.03             0.00              0.00             0.09               112.07   
0.07            0.02             0.00              0.00             0.09               112.16   
0.08            0.02             0.00              0.00             0.10               112.26   
0.08            0.02             0.00              0.00             0.10               112.36   
0.08            0.02             0.00              0.00             0.10               112.46   
0.09            0.02             0.00              0.00             0.11               112.57   
0.10            0.02             0.00              0.00             0.12               112.69   
0.10            0.03             0.00              0.00             0.13               112.82   
0.11            0.03             0.00              0.00             0.14               112.96   
0.12            0.02             0.00              0.00             0.14               113.10   
0.00            0.00             0.00              0.22             0.22               113.32   
