Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.54              0.00             3.54               51.56    
0.15            0.23             0.00              0.00             0.38               51.94    
0.10            0.13             0.00              0.00             0.23               52.17    
0.08            0.07             0.00              0.00             0.15               52.32    
0.04            0.11             0.00              0.00             0.15               52.47    
0.06            0.05             0.00              0.00             0.11               52.58    
0.02            0.05             0.00              0.00             0.07               52.65    
0.02            0.05             0.00              0.00             0.07               52.72    
0.02            0.02             0.00              0.00             0.04               52.76    
0.02            0.02             0.00              0.00             0.04               52.80    
0.03            0.02             0.00              0.00             0.05               52.85    
0.05            0.02             0.00              0.00             0.07               52.92    
0.06            0.02             0.00              0.00             0.08               53.00    
0.06            0.02             0.00              0.00             0.08               53.08    
0.05            0.02             0.00              0.00             0.07               53.15    
0.07            0.02             0.00              0.00             0.09               53.24    
0.00            0.00             0.00              0.13             0.13               53.37    
