Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             9.47              0.00             9.47               112.91   
0.22            0.48             0.00              0.00             0.70               113.61   
0.24            0.14             0.00              0.00             0.38               113.99   
0.08            0.12             0.00              0.00             0.20               114.19   
0.07            0.29             0.00              0.00             0.36               114.55   
0.15            0.31             0.00              0.00             0.46               115.01   
0.15            0.11             0.00              0.00             0.26               115.27   
0.03            0.09             0.00              0.00             0.12               115.39   
0.03            0.10             0.00              0.00             0.13               115.52   
0.03            0.10             0.00              0.00             0.13               115.65   
0.03            0.10             0.00              0.00             0.13               115.78   
0.03            0.04             0.00              0.00             0.07               115.85   
0.02            0.05             0.00              0.00             0.07               115.92   
0.05            0.05             0.00              0.00             0.10               116.02   
0.08            0.04             0.00              0.00             0.12               116.14   
0.09            0.03             0.00              0.00             0.12               116.26   
0.09            0.04             0.00              0.00             0.13               116.39   
0.09            0.04             0.00              0.00             0.13               116.52   
0.10            0.03             0.00              0.00             0.13               116.65   
0.14            0.04             0.00              0.00             0.18               116.83   
0.13            0.04             0.00              0.00             0.17               117.00   
0.13            0.04             0.00              0.00             0.17               117.17   
0.14            0.04             0.00              0.00             0.18               117.35   
0.15            0.04             0.00              0.00             0.19               117.54   
0.16            0.04             0.00              0.00             0.20               117.74   
0.00            0.00             0.00              0.24             0.24               117.98   
