Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.19              0.00             3.19               37.94    
0.13            0.06             0.00              0.00             0.19               38.13    
0.03            0.03             0.00              0.00             0.06               38.19    
0.02            0.01             0.00              0.00             0.03               38.22    
0.02            0.01             0.00              0.00             0.03               38.25    
0.02            0.02             0.00              0.00             0.04               38.29    
0.02            0.01             0.00              0.00             0.03               38.32    
0.02            0.01             0.00              0.00             0.03               38.35    
0.02            0.00             0.00              0.00             0.02               38.37    
0.02            0.00             0.00              0.00             0.02               38.39    
0.02            0.00             0.00              0.00             0.02               38.41    
0.01            0.00             0.00              0.00             0.01               38.42    
0.02            0.00             0.00              0.00             0.02               38.44    
0.02            0.00             0.00              0.00             0.02               38.46    
0.02            0.00             0.00              0.00             0.02               38.48    
0.02            0.00             0.00              0.00             0.02               38.50    
0.00            0.00             0.00              0.08             0.08               38.58    
