Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.87              0.00             3.87               42.67    
0.09            0.03             0.00              0.00             0.12               42.79    
0.02            0.02             0.00              0.00             0.04               42.83    
0.02            0.01             0.00              0.00             0.03               42.86    
0.02            0.01             0.00              0.00             0.03               42.89    
0.02            0.02             0.00              0.00             0.04               42.93    
0.02            0.01             0.00              0.00             0.03               42.96    
0.02            0.01             0.00              0.00             0.03               42.99    
0.02            0.01             0.00              0.00             0.03               43.02    
0.02            0.01             0.00              0.00             0.03               43.05    
0.02            0.01             0.00              0.00             0.03               43.08    
0.02            0.00             0.00              0.00             0.02               43.10    
0.02            0.00             0.00              0.00             0.02               43.12    
0.00            0.00             0.00              0.07             0.07               43.19    
