Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.21              0.00             3.21               37.39    
0.09            0.05             0.00              0.00             0.14               37.53    
0.02            0.03             0.00              0.00             0.05               37.58    
0.02            0.01             0.00              0.00             0.03               37.61    
0.02            0.01             0.00              0.00             0.03               37.64    
0.02            0.02             0.00              0.00             0.04               37.68    
0.02            0.01             0.00              0.00             0.03               37.71    
0.02            0.01             0.00              0.00             0.03               37.74    
0.02            0.00             0.00              0.00             0.02               37.76    
0.01            0.00             0.00              0.00             0.01               37.77    
0.02            0.00             0.00              0.00             0.02               37.79    
0.02            0.00             0.00              0.00             0.02               37.81    
0.02            0.00             0.00              0.00             0.02               37.83    
0.02            0.00             0.00              0.00             0.02               37.85    
0.02            0.00             0.00              0.00             0.02               37.87    
0.02            0.00             0.00              0.00             0.02               37.89    
0.00            0.00             0.00              0.08             0.08               37.97    
