Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             4.06              0.00             4.06               45.49    
0.10            0.03             0.00              0.00             0.13               45.62    
0.03            0.02             0.00              0.00             0.05               45.67    
0.02            0.02             0.00              0.00             0.04               45.71    
0.02            0.01             0.00              0.00             0.03               45.74    
0.02            0.01             0.00              0.00             0.03               45.77    
0.02            0.01             0.00              0.00             0.03               45.80    
0.02            0.01             0.00              0.00             0.03               45.83    
0.02            0.01             0.00              0.00             0.03               45.86    
0.02            0.01             0.00              0.00             0.03               45.89    
0.02            0.01             0.00              0.00             0.03               45.92    
0.02            0.00             0.00              0.00             0.02               45.94    
0.02            0.00             0.00              0.00             0.02               45.96    
0.00            0.00             0.00              0.08             0.08               46.04    
