Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             7.54              0.00             7.54               83.47    
0.11            0.07             0.00              0.00             0.18               83.65    
0.02            0.02             0.00              0.00             0.04               83.69    
0.02            0.05             0.00              0.00             0.07               83.76    
0.02            0.01             0.00              0.00             0.03               83.79    
0.02            0.01             0.00              0.00             0.03               83.82    
0.02            0.01             0.00              0.00             0.03               83.85    
0.02            0.01             0.00              0.00             0.03               83.88    
0.02            0.01             0.00              0.00             0.03               83.91    
0.02            0.02             0.00              0.00             0.04               83.95    
0.02            0.04             0.00              0.00             0.06               84.01    
0.02            0.00             0.00              0.00             0.02               84.03    
0.02            0.00             0.00              0.00             0.02               84.05    
0.02            0.00             0.00              0.00             0.02               84.07    
0.02            0.00             0.00              0.00             0.02               84.09    
0.01            0.00             0.00              0.00             0.01               84.10    
0.02            0.00             0.00              0.00             0.02               84.12    
0.01            0.00             0.00              0.00             0.01               84.13    
0.01            0.00             0.00              0.00             0.01               84.14    
0.02            0.00             0.00              0.00             0.02               84.16    
0.02            0.00             0.00              0.00             0.02               84.18    
0.01            0.00             0.00              0.00             0.01               84.19    
0.02            0.00             0.00              0.00             0.02               84.21    
0.02            0.00             0.00              0.00             0.02               84.23    
0.01            0.00             0.00              0.00             0.01               84.24    
0.00            0.00             0.00              0.08             0.08               84.32    
