Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             77.64             0.00             77.64              791.21   
0.12            0.08             0.00              0.00             0.20               791.41   
0.03            0.02             0.00              0.00             0.05               791.46   
0.02            0.02             0.00              0.00             0.04               791.50   
0.02            0.02             0.00              0.00             0.04               791.54   
0.02            0.05             0.00              0.00             0.07               791.61   
0.02            0.02             0.00              0.00             0.04               791.65   
0.02            0.04             0.00              0.00             0.06               791.71   
0.02            0.06             0.00              0.00             0.08               791.79   
0.02            0.02             0.00              0.00             0.04               791.83   
0.02            0.02             0.00              0.00             0.04               791.87   
0.02            0.02             0.00              0.00             0.04               791.91   
0.02            0.01             0.00              0.00             0.03               791.94   
0.02            0.01             0.00              0.00             0.03               791.97   
0.02            0.01             0.00              0.00             0.03               792.00   
0.03            0.01             0.00              0.00             0.04               792.04   
0.01            0.01             0.00              0.00             0.02               792.06   
0.01            0.01             0.00              0.00             0.02               792.08   
0.01            0.01             0.00              0.00             0.02               792.10   
0.01            0.01             0.00              0.00             0.02               792.12   
0.01            0.01             0.00              0.00             0.02               792.14   
0.01            0.01             0.00              0.00             0.02               792.16   
0.01            0.01             0.00              0.00             0.02               792.18   
0.01            0.03             0.00              0.00             0.04               792.22   
0.02            0.01             0.00              0.00             0.03               792.25   
0.01            0.01             0.00              0.00             0.02               792.27   
0.01            0.01             0.00              0.00             0.02               792.29   
0.01            0.01             0.00              0.00             0.02               792.31   
0.01            0.03             0.00              0.00             0.04               792.35   
0.02            0.01             0.00              0.00             0.03               792.38   
0.01            0.01             0.00              0.00             0.02               792.40   
0.02            0.00             0.00              0.00             0.02               792.42   
0.01            0.00             0.00              0.00             0.01               792.43   
0.02            0.00             0.00              0.00             0.02               792.45   
0.01            0.00             0.00              0.00             0.01               792.46   
0.01            0.00             0.00              0.00             0.01               792.47   
0.01            0.00             0.00              0.00             0.01               792.48   
0.01            0.00             0.00              0.00             0.01               792.49   
0.02            0.00             0.00              0.00             0.02               792.51   
0.01            0.00             0.00              0.00             0.01               792.52   
0.02            0.00             0.00              0.00             0.02               792.54   
0.01            0.00             0.00              0.00             0.01               792.55   
0.02            0.00             0.00              0.00             0.02               792.57   
0.00            0.00             0.00              0.09             0.09               792.66   
