Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             5.95              0.00             5.95               69.64    
0.23            0.06             0.00              0.00             0.29               69.93    
0.04            0.04             0.00              0.00             0.08               70.01    
0.03            0.02             0.00              0.00             0.05               70.06    
0.03            0.03             0.00              0.00             0.06               70.12    
0.03            0.02             0.00              0.00             0.05               70.17    
0.02            0.01             0.00              0.00             0.03               70.20    
0.03            0.01             0.00              0.00             0.04               70.24    
0.02            0.00             0.00              0.00             0.02               70.26    
0.02            0.00             0.00              0.00             0.02               70.28    
0.02            0.00             0.00              0.00             0.02               70.30    
0.02            0.00             0.00              0.00             0.02               70.32    
0.03            0.00             0.00              0.00             0.03               70.35    
0.02            0.00             0.00              0.00             0.02               70.37    
0.03            0.00             0.00              0.00             0.03               70.40    
0.03            0.00             0.00              0.00             0.03               70.43    
0.00            0.00             0.00              0.19             0.19               70.62    
