Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             71.88             0.00             71.88              741.41   
0.12            0.08             0.00              0.00             0.20               741.61   
0.03            0.02             0.00              0.00             0.05               741.66   
0.02            0.05             0.00              0.00             0.07               741.73   
0.02            0.02             0.00              0.00             0.04               741.77   
0.02            0.02             0.00              0.00             0.04               741.81   
0.02            0.02             0.00              0.00             0.04               741.85   
0.02            0.02             0.00              0.00             0.04               741.89   
0.02            0.05             0.00              0.00             0.07               741.96   
0.02            0.05             0.00              0.00             0.07               742.03   
0.02            0.02             0.00              0.00             0.04               742.07   
0.02            0.01             0.00              0.00             0.03               742.10   
0.02            0.01             0.00              0.00             0.03               742.13   
0.02            0.01             0.00              0.00             0.03               742.16   
0.02            0.01             0.00              0.00             0.03               742.19   
0.02            0.01             0.00              0.00             0.03               742.22   
0.02            0.04             0.00              0.00             0.06               742.28   
0.02            0.01             0.00              0.00             0.03               742.31   
0.02            0.01             0.00              0.00             0.03               742.34   
0.02            0.01             0.00              0.00             0.03               742.37   
0.02            0.01             0.00              0.00             0.03               742.40   
0.02            0.01             0.00              0.00             0.03               742.43   
0.02            0.01             0.00              0.00             0.03               742.46   
0.02            0.01             0.00              0.00             0.03               742.49   
0.02            0.01             0.00              0.00             0.03               742.52   
0.02            0.01             0.00              0.00             0.03               742.55   
0.02            0.01             0.00              0.00             0.03               742.58   
0.02            0.01             0.00              0.00             0.03               742.61   
0.02            0.04             0.00              0.00             0.06               742.67   
0.02            0.01             0.00              0.00             0.03               742.70   
0.02            0.01             0.00              0.00             0.03               742.73   
0.02            0.00             0.00              0.00             0.02               742.75   
0.02            0.00             0.00              0.00             0.02               742.77   
0.02            0.00             0.00              0.00             0.02               742.79   
0.02            0.00             0.00              0.00             0.02               742.81   
0.03            0.00             0.00              0.00             0.03               742.84   
0.02            0.00             0.00              0.00             0.02               742.86   
0.01            0.00             0.00              0.00             0.01               742.87   
0.02            0.00             0.00              0.00             0.02               742.89   
0.01            0.00             0.00              0.00             0.01               742.90   
0.02            0.00             0.00              0.00             0.02               742.92   
0.02            0.00             0.00              0.00             0.02               742.94   
0.02            0.00             0.00              0.00             0.02               742.96   
0.00            0.00             0.00              0.09             0.09               743.05   
