Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             9.06              0.00             9.06               110.25   
0.13            0.08             0.00              0.00             0.21               110.46   
0.02            0.02             0.00              0.00             0.04               110.50   
0.02            0.06             0.00              0.00             0.08               110.58   
0.02            0.02             0.00              0.00             0.04               110.62   
0.02            0.02             0.00              0.00             0.04               110.66   
0.02            0.02             0.00              0.00             0.04               110.70   
0.02            0.07             0.00              0.00             0.09               110.79   
0.02            0.07             0.00              0.00             0.09               110.88   
0.02            0.02             0.00              0.00             0.04               110.92   
0.02            0.02             0.00              0.00             0.04               110.96   
0.02            0.03             0.00              0.00             0.05               111.01   
0.01            0.01             0.00              0.00             0.02               111.03   
0.01            0.01             0.00              0.00             0.02               111.05   
0.01            0.01             0.00              0.00             0.02               111.07   
0.01            0.01             0.00              0.00             0.02               111.09   
0.01            0.04             0.00              0.00             0.05               111.14   
0.01            0.01             0.00              0.00             0.02               111.16   
0.01            0.01             0.00              0.00             0.02               111.18   
0.01            0.01             0.00              0.00             0.02               111.20   
0.01            0.01             0.00              0.00             0.02               111.22   
0.01            0.01             0.00              0.00             0.02               111.24   
0.01            0.01             0.00              0.00             0.02               111.26   
0.01            0.01             0.00              0.00             0.02               111.28   
0.01            0.01             0.00              0.00             0.02               111.30   
0.02            0.01             0.00              0.00             0.03               111.33   
0.02            0.01             0.00              0.00             0.03               111.36   
0.01            0.01             0.00              0.00             0.02               111.38   
0.01            0.05             0.00              0.00             0.06               111.44   
0.02            0.01             0.00              0.00             0.03               111.47   
0.01            0.05             0.00              0.00             0.06               111.53   
0.02            0.01             0.00              0.00             0.03               111.56   
0.01            0.01             0.00              0.00             0.02               111.58   
0.02            0.01             0.00              0.00             0.03               111.61   
0.01            0.01             0.00              0.00             0.02               111.63   
0.01            0.01             0.00              0.00             0.02               111.65   
0.02            0.01             0.00              0.00             0.03               111.68   
0.01            0.00             0.00              0.00             0.01               111.69   
0.01            0.01             0.00              0.00             0.02               111.71   
0.03            0.00             0.00              0.00             0.03               111.74   
0.01            0.00             0.00              0.00             0.01               111.75   
0.01            0.00             0.00              0.00             0.01               111.76   
0.02            0.00             0.00              0.00             0.02               111.78   
0.01            0.00             0.00              0.00             0.01               111.79   
0.01            0.00             0.00              0.00             0.01               111.80   
0.01            0.01             0.00              0.00             0.02               111.82   
0.01            0.01             0.00              0.00             0.02               111.84   
0.01            0.01             0.00              0.00             0.02               111.86   
0.01            0.01             0.00              0.00             0.02               111.88   
0.01            0.01             0.00              0.00             0.02               111.90   
0.01            0.01             0.00              0.00             0.02               111.92   
0.01            0.04             0.00              0.00             0.05               111.97   
0.01            0.01             0.00              0.00             0.02               111.99   
0.02            0.01             0.00              0.00             0.03               112.02   
0.01            0.01             0.00              0.00             0.02               112.04   
0.01            0.01             0.00              0.00             0.02               112.06   
0.01            0.01             0.00              0.00             0.02               112.08   
0.01            0.01             0.00              0.00             0.02               112.10   
0.01            0.00             0.00              0.00             0.01               112.11   
0.01            0.00             0.00              0.00             0.01               112.12   
0.01            0.00             0.00              0.00             0.01               112.13   
0.01            0.00             0.00              0.00             0.01               112.14   
0.01            0.00             0.00              0.00             0.01               112.15   
0.00            0.00             0.00              0.08             0.08               112.23   
