Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.18              0.00             3.18               36.49    
0.09            0.04             0.00              0.00             0.13               36.62    
0.02            0.01             0.00              0.00             0.03               36.65    
0.02            0.02             0.00              0.00             0.04               36.69    
0.02            0.01             0.00              0.00             0.03               36.72    
0.01            0.01             0.00              0.00             0.02               36.74    
0.01            0.02             0.00              0.00             0.03               36.77    
0.01            0.01             0.00              0.00             0.02               36.79    
0.01            0.00             0.00              0.00             0.01               36.80    
0.01            0.00             0.00              0.00             0.01               36.81    
0.01            0.00             0.00              0.00             0.01               36.82    
0.01            0.00             0.00              0.00             0.01               36.83    
0.01            0.00             0.00              0.00             0.01               36.84    
0.01            0.00             0.00              0.00             0.01               36.85    
0.02            0.00             0.00              0.00             0.02               36.87    
0.01            0.00             0.00              0.00             0.01               36.88    
0.00            0.00             0.00              0.06             0.06               36.94    
