Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             11.47             0.00             11.47              138.15   
0.13            0.05             0.00              0.00             0.18               138.33   
0.02            0.03             0.00              0.00             0.05               138.38   
0.02            0.03             0.00              0.00             0.05               138.43   
0.02            0.03             0.00              0.00             0.05               138.48   
0.02            0.09             0.00              0.00             0.11               138.59   
0.02            0.02             0.00              0.00             0.04               138.63   
0.02            0.06             0.00              0.00             0.08               138.71   
0.02            0.02             0.00              0.00             0.04               138.75   
0.02            0.07             0.00              0.00             0.09               138.84   
0.02            0.07             0.00              0.00             0.09               138.93   
0.02            0.02             0.00              0.00             0.04               138.97   
0.01            0.02             0.00              0.00             0.03               139.00   
0.02            0.02             0.00              0.00             0.04               139.04   
0.01            0.02             0.00              0.00             0.03               139.07   
0.01            0.02             0.00              0.00             0.03               139.10   
0.01            0.02             0.00              0.00             0.03               139.13   
0.01            0.02             0.00              0.00             0.03               139.16   
0.01            0.05             0.00              0.00             0.06               139.22   
0.01            0.01             0.00              0.00             0.02               139.24   
0.01            0.01             0.00              0.00             0.02               139.26   
0.02            0.01             0.00              0.00             0.03               139.29   
0.01            0.01             0.00              0.00             0.02               139.31   
0.01            0.01             0.00              0.00             0.02               139.33   
0.01            0.01             0.00              0.00             0.02               139.35   
0.02            0.01             0.00              0.00             0.03               139.38   
0.01            0.06             0.00              0.00             0.07               139.45   
0.02            0.02             0.00              0.00             0.04               139.49   
0.02            0.01             0.00              0.00             0.03               139.52   
0.02            0.01             0.00              0.00             0.03               139.55   
0.01            0.01             0.00              0.00             0.02               139.57   
0.01            0.01             0.00              0.00             0.02               139.59   
0.02            0.01             0.00              0.00             0.03               139.62   
0.03            0.01             0.00              0.00             0.04               139.66   
0.01            0.01             0.00              0.00             0.02               139.68   
0.01            0.01             0.00              0.00             0.02               139.70   
0.01            0.01             0.00              0.00             0.02               139.72   
0.01            0.01             0.00              0.00             0.02               139.74   
0.01            0.01             0.00              0.00             0.02               139.76   
0.01            0.01             0.00              0.00             0.02               139.78   
0.01            0.01             0.00              0.00             0.02               139.80   
0.02            0.00             0.00              0.00             0.02               139.82   
0.02            0.00             0.00              0.00             0.02               139.84   
0.01            0.00             0.00              0.00             0.01               139.85   
0.01            0.00             0.00              0.00             0.01               139.86   
0.01            0.00             0.00              0.00             0.01               139.87   
0.01            0.00             0.00              0.00             0.01               139.88   
0.01            0.00             0.00              0.00             0.01               139.89   
0.00            0.00             0.00              0.09             0.09               139.98   
