Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             106.90            0.00             106.90             1094.64  
0.17            0.12             0.00              0.00             0.29               1094.93  
0.03            0.03             0.00              0.00             0.06               1094.99  
0.02            0.03             0.00              0.00             0.05               1095.04  
0.02            0.07             0.00              0.00             0.09               1095.13  
0.02            0.08             0.00              0.00             0.10               1095.23  
0.02            0.02             0.00              0.00             0.04               1095.27  
0.02            0.02             0.00              0.00             0.04               1095.31  
0.02            0.02             0.00              0.00             0.04               1095.35  
0.02            0.02             0.00              0.00             0.04               1095.39  
0.02            0.02             0.00              0.00             0.04               1095.43  
0.03            0.07             0.00              0.00             0.10               1095.53  
0.01            0.02             0.00              0.00             0.03               1095.56  
0.01            0.01             0.00              0.00             0.02               1095.58  
0.01            0.01             0.00              0.00             0.02               1095.60  
0.01            0.01             0.00              0.00             0.02               1095.62  
0.01            0.01             0.00              0.00             0.02               1095.64  
0.01            0.01             0.00              0.00             0.02               1095.66  
0.01            0.01             0.00              0.00             0.02               1095.68  
0.01            0.01             0.00              0.00             0.02               1095.70  
0.01            0.01             0.00              0.00             0.02               1095.72  
0.01            0.05             0.00              0.00             0.06               1095.78  
0.02            0.01             0.00              0.00             0.03               1095.81  
0.01            0.01             0.00              0.00             0.02               1095.83  
0.01            0.01             0.00              0.00             0.02               1095.85  
0.01            0.01             0.00              0.00             0.02               1095.87  
0.01            0.05             0.00              0.00             0.06               1095.93  
0.02            0.01             0.00              0.00             0.03               1095.96  
0.01            0.01             0.00              0.00             0.02               1095.98  
0.01            0.01             0.00              0.00             0.02               1096.00  
0.02            0.01             0.00              0.00             0.03               1096.03  
0.01            0.01             0.00              0.00             0.02               1096.05  
0.02            0.01             0.00              0.00             0.03               1096.08  
0.01            0.01             0.00              0.00             0.02               1096.10  
0.02            0.01             0.00              0.00             0.03               1096.13  
0.01            0.02             0.00              0.00             0.03               1096.16  
0.02            0.01             0.00              0.00             0.03               1096.19  
0.03            0.01             0.00              0.00             0.04               1096.23  
0.02            0.01             0.00              0.00             0.03               1096.26  
0.01            0.00             0.00              0.00             0.01               1096.27  
0.01            0.00             0.00              0.00             0.01               1096.28  
0.01            0.00             0.00              0.00             0.01               1096.29  
0.02            0.00             0.00              0.00             0.02               1096.31  
0.01            0.00             0.00              0.00             0.01               1096.32  
0.01            0.00             0.00              0.00             0.01               1096.33  
0.01            0.00             0.00              0.00             0.01               1096.34  
0.01            0.00             0.00              0.00             0.01               1096.35  
0.01            0.00             0.00              0.00             0.01               1096.36  
0.01            0.00             0.00              0.00             0.01               1096.37  
0.02            0.00             0.00              0.00             0.02               1096.39  
0.01            0.00             0.00              0.00             0.01               1096.40  
0.01            0.00             0.00              0.00             0.01               1096.41  
0.01            0.00             0.00              0.00             0.01               1096.42  
0.01            0.00             0.00              0.00             0.01               1096.43  
0.01            0.00             0.00              0.00             0.01               1096.44  
0.00            0.00             0.00              0.09             0.09               1096.53  
