Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             76.08             0.00             76.08              783.67   
0.20            0.15             0.00              0.00             0.35               784.02   
0.03            0.06             0.00              0.00             0.09               784.11   
0.02            0.02             0.00              0.00             0.04               784.15   
0.02            0.02             0.00              0.00             0.04               784.19   
0.02            0.02             0.00              0.00             0.04               784.23   
0.02            0.05             0.00              0.00             0.07               784.30   
0.02            0.02             0.00              0.00             0.04               784.34   
0.02            0.02             0.00              0.00             0.04               784.38   
0.02            0.05             0.00              0.00             0.07               784.45   
0.02            0.02             0.00              0.00             0.04               784.49   
0.03            0.04             0.00              0.00             0.07               784.56   
0.01            0.01             0.00              0.00             0.02               784.58   
0.01            0.01             0.00              0.00             0.02               784.60   
0.01            0.01             0.00              0.00             0.02               784.62   
0.01            0.01             0.00              0.00             0.02               784.64   
0.01            0.01             0.00              0.00             0.02               784.66   
0.01            0.01             0.00              0.00             0.02               784.68   
0.01            0.01             0.00              0.00             0.02               784.70   
0.01            0.01             0.00              0.00             0.02               784.72   
0.01            0.01             0.00              0.00             0.02               784.74   
0.01            0.01             0.00              0.00             0.02               784.76   
0.01            0.01             0.00              0.00             0.02               784.78   
0.01            0.01             0.00              0.00             0.02               784.80   
0.01            0.03             0.00              0.00             0.04               784.84   
0.01            0.01             0.00              0.00             0.02               784.86   
0.01            0.01             0.00              0.00             0.02               784.88   
0.01            0.01             0.00              0.00             0.02               784.90   
0.01            0.01             0.00              0.00             0.02               784.92   
0.01            0.01             0.00              0.00             0.02               784.94   
0.02            0.01             0.00              0.00             0.03               784.97   
0.01            0.00             0.00              0.00             0.01               784.98   
0.01            0.00             0.00              0.00             0.01               784.99   
0.01            0.00             0.00              0.00             0.01               785.00   
0.01            0.00             0.00              0.00             0.01               785.01   
0.01            0.00             0.00              0.00             0.01               785.02   
0.01            0.00             0.00              0.00             0.01               785.03   
0.02            0.00             0.00              0.00             0.02               785.05   
0.01            0.00             0.00              0.00             0.01               785.06   
0.02            0.00             0.00              0.00             0.02               785.08   
0.02            0.00             0.00              0.00             0.02               785.10   
0.01            0.00             0.00              0.00             0.01               785.11   
0.02            0.00             0.00              0.00             0.02               785.13   
0.00            0.00             0.00              0.08             0.08               785.21   
