Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.29              0.00             3.29               38.20    
0.10            0.04             0.00              0.00             0.14               38.34    
0.02            0.01             0.00              0.00             0.03               38.37    
0.02            0.02             0.00              0.00             0.04               38.41    
0.02            0.01             0.00              0.00             0.03               38.44    
0.02            0.01             0.00              0.00             0.03               38.47    
0.02            0.01             0.00              0.00             0.03               38.50    
0.02            0.02             0.00              0.00             0.04               38.54    
0.02            0.00             0.00              0.00             0.02               38.56    
0.02            0.00             0.00              0.00             0.02               38.58    
0.02            0.00             0.00              0.00             0.02               38.60    
0.01            0.00             0.00              0.00             0.01               38.61    
0.01            0.00             0.00              0.00             0.01               38.62    
0.02            0.00             0.00              0.00             0.02               38.64    
0.02            0.00             0.00              0.00             0.02               38.66    
0.02            0.00             0.00              0.00             0.02               38.68    
0.00            0.00             0.00              0.06             0.06               38.74    
