Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             11.89             0.00             11.89              143.58   
0.14            0.11             0.00              0.00             0.25               143.83   
0.02            0.09             0.00              0.00             0.11               143.94   
0.02            0.02             0.00              0.00             0.04               143.98   
0.02            0.02             0.00              0.00             0.04               144.02   
0.02            0.02             0.00              0.00             0.04               144.06   
0.02            0.02             0.00              0.00             0.04               144.10   
0.02            0.02             0.00              0.00             0.04               144.14   
0.02            0.02             0.00              0.00             0.04               144.18   
0.02            0.02             0.00              0.00             0.04               144.22   
0.02            0.07             0.00              0.00             0.09               144.31   
0.02            0.07             0.00              0.00             0.09               144.40   
0.02            0.02             0.00              0.00             0.04               144.44   
0.02            0.07             0.00              0.00             0.09               144.53   
0.01            0.01             0.00              0.00             0.02               144.55   
0.01            0.05             0.00              0.00             0.06               144.61   
0.02            0.01             0.00              0.00             0.03               144.64   
0.01            0.01             0.00              0.00             0.02               144.66   
0.01            0.01             0.00              0.00             0.02               144.68   
0.01            0.01             0.00              0.00             0.02               144.70   
0.01            0.01             0.00              0.00             0.02               144.72   
0.01            0.01             0.00              0.00             0.02               144.74   
0.01            0.01             0.00              0.00             0.02               144.76   
0.01            0.01             0.00              0.00             0.02               144.78   
0.01            0.01             0.00              0.00             0.02               144.80   
0.02            0.01             0.00              0.00             0.03               144.83   
0.01            0.01             0.00              0.00             0.02               144.85   
0.01            0.01             0.00              0.00             0.02               144.87   
0.01            0.01             0.00              0.00             0.02               144.89   
0.01            0.01             0.00              0.00             0.02               144.91   
0.01            0.01             0.00              0.00             0.02               144.93   
0.01            0.01             0.00              0.00             0.02               144.95   
0.01            0.01             0.00              0.00             0.02               144.97   
0.02            0.01             0.00              0.00             0.03               145.00   
0.01            0.01             0.00              0.00             0.02               145.02   
0.01            0.01             0.00              0.00             0.02               145.04   
0.01            0.01             0.00              0.00             0.02               145.06   
0.02            0.01             0.00              0.00             0.03               145.09   
0.02            0.01             0.00              0.00             0.03               145.12   
0.01            0.00             0.00              0.00             0.01               145.13   
0.02            0.00             0.00              0.00             0.02               145.15   
0.01            0.00             0.00              0.00             0.01               145.16   
0.02            0.00             0.00              0.00             0.02               145.18   
0.01            0.00             0.00              0.00             0.01               145.19   
0.01            0.00             0.00              0.00             0.01               145.20   
0.01            0.00             0.00              0.00             0.01               145.21   
0.01            0.00             0.00              0.00             0.01               145.22   
0.01            0.00             0.00              0.00             0.01               145.23   
0.01            0.00             0.00              0.00             0.01               145.24   
0.01            0.00             0.00              0.00             0.01               145.25   
0.01            0.00             0.00              0.00             0.01               145.26   
0.01            0.00             0.00              0.00             0.01               145.27   
0.01            0.00             0.00              0.00             0.01               145.28   
0.01            0.00             0.00              0.00             0.01               145.29   
0.01            0.00             0.00              0.00             0.01               145.30   
0.00            0.00             0.00              1.48             1.48               146.78   
