Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             3.26              0.00             3.26               50.23    
0.09            0.04             0.00              0.00             0.13               50.36    
0.02            0.01             0.00              0.00             0.03               50.39    
0.02            0.02             0.00              0.00             0.04               50.43    
0.01            0.01             0.00              0.00             0.02               50.45    
0.01            0.01             0.00              0.00             0.02               50.47    
0.01            0.01             0.00              0.00             0.02               50.49    
0.01            0.02             0.00              0.00             0.03               50.52    
0.01            0.00             0.00              0.00             0.01               50.53    
0.01            0.00             0.00              0.00             0.01               50.54    
0.01            0.00             0.00              0.00             0.01               50.55    
0.01            0.00             0.00              0.00             0.01               50.56    
0.01            0.00             0.00              0.00             0.01               50.57    
0.01            0.00             0.00              0.00             0.01               50.58    
0.01            0.00             0.00              0.00             0.01               50.59    
0.02            0.00             0.00              0.00             0.02               50.61    
0.00            0.00             0.00              1.34             1.34               51.95    
