Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             4.26              0.00             4.26               62.71    
0.13            0.05             0.00              0.00             0.18               62.89    
0.03            0.03             0.00              0.00             0.06               62.95    
0.02            0.03             0.00              0.00             0.05               63.00    
0.02            0.01             0.00              0.00             0.03               63.03    
0.02            0.01             0.00              0.00             0.03               63.06    
0.02            0.01             0.00              0.00             0.03               63.09    
0.02            0.01             0.00              0.00             0.03               63.12    
0.02            0.00             0.00              0.00             0.02               63.14    
0.02            0.00             0.00              0.00             0.02               63.16    
0.02            0.00             0.00              0.00             0.02               63.18    
0.02            0.00             0.00              0.00             0.02               63.20    
0.02            0.00             0.00              0.00             0.02               63.22    
0.02            0.00             0.00              0.00             0.02               63.24    
0.02            0.00             0.00              0.00             0.02               63.26    
0.02            0.00             0.00              0.00             0.02               63.28    
0.00            0.00             0.00              1.59             1.59               64.87    
