Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             70.72             0.00             70.72              664.50   
0.12            0.08             0.00              0.00             0.20               664.70   
0.03            0.03             0.00              0.00             0.06               664.76   
0.02            0.03             0.00              0.00             0.05               664.81   
0.02            0.05             0.00              0.00             0.07               664.88   
0.02            0.03             0.00              0.00             0.05               664.93   
0.02            0.05             0.00              0.00             0.07               665.00   
0.02            0.02             0.00              0.00             0.04               665.04   
0.02            0.06             0.00              0.00             0.08               665.12   
0.02            0.02             0.00              0.00             0.04               665.16   
0.02            0.01             0.00              0.00             0.03               665.19   
0.02            0.01             0.00              0.00             0.03               665.22   
0.02            0.02             0.00              0.00             0.04               665.26   
0.02            0.02             0.00              0.00             0.04               665.30   
0.02            0.01             0.00              0.00             0.03               665.33   
0.02            0.01             0.00              0.00             0.03               665.36   
0.02            0.06             0.00              0.00             0.08               665.44   
0.02            0.01             0.00              0.00             0.03               665.47   
0.02            0.01             0.00              0.00             0.03               665.50   
0.02            0.01             0.00              0.00             0.03               665.53   
0.02            0.02             0.00              0.00             0.04               665.57   
0.02            0.01             0.00              0.00             0.03               665.60   
0.02            0.04             0.00              0.00             0.06               665.66   
0.03            0.01             0.00              0.00             0.04               665.70   
0.02            0.01             0.00              0.00             0.03               665.73   
0.02            0.02             0.00              0.00             0.04               665.77   
0.02            0.02             0.00              0.00             0.04               665.81   
0.02            0.00             0.00              0.00             0.02               665.83   
0.02            0.00             0.00              0.00             0.02               665.85   
0.03            0.00             0.00              0.00             0.03               665.88   
0.03            0.00             0.00              0.00             0.03               665.91   
0.02            0.00             0.00              0.00             0.02               665.93   
0.02            0.00             0.00              0.00             0.02               665.95   
0.02            0.00             0.00              0.00             0.02               665.97   
0.02            0.00             0.00              0.00             0.02               665.99   
0.03            0.00             0.00              0.00             0.03               666.02   
0.02            0.00             0.00              0.00             0.02               666.04   
0.00            0.00             0.00              1.74             1.74               667.78   
