NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	8	4.48	2.35	0.22	0.03	1.87
1	10	10	21	11.27	9.03	0.83	0.15	1.26
1	1	1	8	3.91	2.50	0.22	0.03	1.16
1	1	1	8	3.86	2.43	0.22	0.03	1.19
1	8	8	15	5.01	3.18	0.49	0.11	1.23
2	7	7	24	9.45	7.34	0.75	0.11	1.26
1	1	1	8	4.26	2.83	0.22	0.03	1.19
2	7	7	24	9.20	7.06	0.76	0.12	1.26
1	6	6	24	7.30	5.34	0.70	0.08	1.18
2	4	4	15	6.52	4.77	0.46	0.06	1.23
