Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             12.39             0.00             12.39              142.09   
0.09            0.04             0.00              0.00             0.13               142.22   
0.02            0.02             0.00              0.00             0.04               142.26   
0.02            0.02             0.00              0.00             0.04               142.30   
0.02            0.02             0.00              0.00             0.04               142.34   
0.02            0.03             0.00              0.00             0.05               142.39   
0.02            0.02             0.00              0.00             0.04               142.43   
0.02            0.02             0.00              0.00             0.04               142.47   
0.02            0.01             0.00              0.00             0.03               142.50   
0.02            0.01             0.00              0.00             0.03               142.53   
0.02            0.01             0.00              0.00             0.03               142.56   
0.02            0.02             0.00              0.00             0.04               142.60   
0.02            0.01             0.00              0.00             0.03               142.63   
0.02            0.01             0.00              0.00             0.03               142.66   
0.02            0.01             0.00              0.00             0.03               142.69   
0.02            0.01             0.00              0.00             0.03               142.72   
0.02            0.01             0.00              0.00             0.03               142.75   
0.02            0.02             0.00              0.00             0.04               142.79   
0.03            0.01             0.00              0.00             0.04               142.83   
0.02            0.00             0.00              0.00             0.02               142.85   
0.01            0.00             0.00              0.00             0.01               142.86   
0.01            0.00             0.00              0.00             0.01               142.87   
0.01            0.00             0.00              0.00             0.01               142.88   
0.01            0.00             0.00              0.00             0.01               142.89   
0.01            0.00             0.00              0.00             0.01               142.90   
0.00            0.00             0.00              1.37             1.37               144.27   
