Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             10.63             0.00             10.63              158.11   
0.41            0.09             0.00              0.00             0.50               158.61   
0.06            0.03             0.00              0.00             0.09               158.70   
0.03            0.05             0.00              0.00             0.08               158.78   
0.03            0.02             0.00              0.00             0.05               158.83   
0.03            0.05             0.00              0.00             0.08               158.91   
0.03            0.02             0.00              0.00             0.05               158.96   
0.03            0.03             0.00              0.00             0.06               159.02   
0.06            0.01             0.00              0.00             0.07               159.09   
0.06            0.03             0.00              0.00             0.09               159.18   
0.03            0.00             0.00              0.00             0.03               159.21   
0.02            0.00             0.00              0.00             0.02               159.23   
0.03            0.00             0.00              0.00             0.03               159.26   
0.03            0.00             0.00              0.00             0.03               159.29   
0.04            0.00             0.00              0.00             0.04               159.33   
0.03            0.01             0.00              0.00             0.04               159.37   
0.00            0.00             0.00              2.45             2.45               161.82   
