Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             4.74              0.00             4.74               71.17    
0.11            0.05             0.00              0.00             0.16               71.33    
0.03            0.01             0.00              0.00             0.04               71.37    
0.02            0.03             0.00              0.00             0.05               71.42    
0.02            0.03             0.00              0.00             0.05               71.47    
0.02            0.01             0.00              0.00             0.03               71.50    
0.02            0.01             0.00              0.00             0.03               71.53    
0.02            0.01             0.00              0.00             0.03               71.56    
0.02            0.00             0.00              0.00             0.02               71.58    
0.02            0.00             0.00              0.00             0.02               71.60    
0.02            0.00             0.00              0.00             0.02               71.62    
0.02            0.00             0.00              0.00             0.02               71.64    
0.02            0.00             0.00              0.00             0.02               71.66    
0.02            0.00             0.00              0.00             0.02               71.68    
0.02            0.00             0.00              0.00             0.02               71.70    
0.02            0.00             0.00              0.00             0.02               71.72    
0.00            0.00             0.00              1.36             1.36               73.08    
