Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             12.83             0.00             12.83              150.65   
0.08            0.04             0.00              0.00             0.12               150.77   
0.02            0.02             0.00              0.00             0.04               150.81   
0.03            0.02             0.00              0.00             0.05               150.86   
0.02            0.02             0.00              0.00             0.04               150.90   
0.02            0.03             0.00              0.00             0.05               150.95   
0.02            0.02             0.00              0.00             0.04               150.99   
0.02            0.02             0.00              0.00             0.04               151.03   
0.02            0.02             0.00              0.00             0.04               151.07   
0.02            0.01             0.00              0.00             0.03               151.10   
0.02            0.01             0.00              0.00             0.03               151.13   
0.02            0.01             0.00              0.00             0.03               151.16   
0.02            0.01             0.00              0.00             0.03               151.19   
0.02            0.01             0.00              0.00             0.03               151.22   
0.02            0.01             0.00              0.00             0.03               151.25   
0.02            0.01             0.00              0.00             0.03               151.28   
0.02            0.02             0.00              0.00             0.04               151.32   
0.02            0.01             0.00              0.00             0.03               151.35   
0.02            0.01             0.00              0.00             0.03               151.38   
0.02            0.00             0.00              0.00             0.02               151.40   
0.02            0.00             0.00              0.00             0.02               151.42   
0.02            0.00             0.00              0.00             0.02               151.44   
0.01            0.00             0.00              0.00             0.01               151.45   
0.01            0.00             0.00              0.00             0.01               151.46   
0.01            0.00             0.00              0.00             0.01               151.47   
0.00            0.00             0.00              1.47             1.47               152.94   
