Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             32.53             0.00             32.53              350.06   
0.09            0.05             0.00              0.00             0.14               350.20   
0.02            0.02             0.00              0.00             0.04               350.24   
0.02            0.03             0.00              0.00             0.05               350.29   
0.02            0.02             0.00              0.00             0.04               350.33   
0.02            0.03             0.00              0.00             0.05               350.38   
0.01            0.04             0.00              0.00             0.05               350.43   
0.01            0.02             0.00              0.00             0.03               350.46   
0.01            0.02             0.00              0.00             0.03               350.49   
0.01            0.01             0.00              0.00             0.02               350.51   
0.01            0.01             0.00              0.00             0.02               350.53   
0.01            0.01             0.00              0.00             0.02               350.55   
0.01            0.02             0.00              0.00             0.03               350.58   
0.02            0.01             0.00              0.00             0.03               350.61   
0.02            0.01             0.00              0.00             0.03               350.64   
0.01            0.01             0.00              0.00             0.02               350.66   
0.01            0.01             0.00              0.00             0.02               350.68   
0.01            0.01             0.00              0.00             0.02               350.70   
0.01            0.02             0.00              0.00             0.03               350.73   
0.01            0.01             0.00              0.00             0.02               350.75   
0.01            0.02             0.00              0.00             0.03               350.78   
0.01            0.01             0.00              0.00             0.02               350.80   
0.01            0.01             0.00              0.00             0.02               350.82   
0.01            0.00             0.00              0.00             0.01               350.83   
0.01            0.00             0.00              0.00             0.01               350.84   
0.01            0.00             0.00              0.00             0.01               350.85   
0.01            0.00             0.00              0.00             0.01               350.86   
0.01            0.00             0.00              0.00             0.01               350.87   
0.01            0.00             0.00              0.00             0.01               350.88   
0.01            0.00             0.00              0.00             0.01               350.89   
0.01            0.00             0.00              0.00             0.01               350.90   
0.00            0.00             0.00              1.52             1.52               352.42   
