Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             8.03              0.00             8.03               105.98   
0.12            0.07             0.00              0.00             0.19               106.17   
0.02            0.02             0.00              0.00             0.04               106.21   
0.02            0.05             0.00              0.00             0.07               106.28   
0.02            0.01             0.00              0.00             0.03               106.31   
0.02            0.05             0.00              0.00             0.07               106.38   
0.02            0.01             0.00              0.00             0.03               106.41   
0.02            0.01             0.00              0.00             0.03               106.44   
0.02            0.01             0.00              0.00             0.03               106.47   
0.01            0.01             0.00              0.00             0.02               106.49   
0.02            0.01             0.00              0.00             0.03               106.52   
0.02            0.00             0.00              0.00             0.02               106.54   
0.01            0.00             0.00              0.00             0.01               106.55   
0.02            0.00             0.00              0.00             0.02               106.57   
0.01            0.00             0.00              0.00             0.01               106.58   
0.02            0.00             0.00              0.00             0.02               106.60   
0.02            0.00             0.00              0.00             0.02               106.62   
0.01            0.00             0.00              0.00             0.01               106.63   
0.02            0.00             0.00              0.00             0.02               106.65   
0.01            0.00             0.00              0.00             0.01               106.66   
0.02            0.00             0.00              0.00             0.02               106.68   
0.02            0.00             0.00              0.00             0.02               106.70   
0.02            0.00             0.00              0.00             0.02               106.72   
0.02            0.00             0.00              0.00             0.02               106.74   
0.02            0.00             0.00              0.00             0.02               106.76   
0.00            0.00             0.00              1.47             1.47               108.23   
