Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             33.31             0.00             33.31              352.56   
0.09            0.05             0.00              0.00             0.14               352.70   
0.02            0.02             0.00              0.00             0.04               352.74   
0.02            0.03             0.00              0.00             0.05               352.79   
0.02            0.02             0.00              0.00             0.04               352.83   
0.02            0.02             0.00              0.00             0.04               352.87   
0.01            0.04             0.00              0.00             0.05               352.92   
0.01            0.02             0.00              0.00             0.03               352.95   
0.01            0.03             0.00              0.00             0.04               352.99   
0.01            0.01             0.00              0.00             0.02               353.01   
0.01            0.01             0.00              0.00             0.02               353.03   
0.01            0.01             0.00              0.00             0.02               353.05   
0.01            0.01             0.00              0.00             0.02               353.07   
0.01            0.01             0.00              0.00             0.02               353.09   
0.01            0.02             0.00              0.00             0.03               353.12   
0.01            0.01             0.00              0.00             0.02               353.14   
0.01            0.01             0.00              0.00             0.02               353.16   
0.01            0.02             0.00              0.00             0.03               353.19   
0.01            0.02             0.00              0.00             0.03               353.22   
0.01            0.01             0.00              0.00             0.02               353.24   
0.01            0.02             0.00              0.00             0.03               353.27   
0.02            0.01             0.00              0.00             0.03               353.30   
0.01            0.01             0.00              0.00             0.02               353.32   
0.02            0.00             0.00              0.00             0.02               353.34   
0.01            0.00             0.00              0.00             0.01               353.35   
0.02            0.00             0.00              0.00             0.02               353.37   
0.01            0.00             0.00              0.00             0.01               353.38   
0.01            0.00             0.00              0.00             0.01               353.39   
0.01            0.00             0.00              0.00             0.01               353.40   
0.02            0.00             0.00              0.00             0.02               353.42   
0.02            0.00             0.00              0.00             0.02               353.44   
0.00            0.00             0.00              1.54             1.54               354.98   
