Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             7.88              0.00             7.88               113.09   
0.13            0.07             0.00              0.00             0.20               113.29   
0.02            0.05             0.00              0.00             0.07               113.36   
0.02            0.02             0.00              0.00             0.04               113.40   
0.02            0.01             0.00              0.00             0.03               113.43   
0.02            0.01             0.00              0.00             0.03               113.46   
0.02            0.01             0.00              0.00             0.03               113.49   
0.02            0.01             0.00              0.00             0.03               113.52   
0.02            0.05             0.00              0.00             0.07               113.59   
0.02            0.01             0.00              0.00             0.03               113.62   
0.02            0.01             0.00              0.00             0.03               113.65   
0.02            0.00             0.00              0.00             0.02               113.67   
0.02            0.00             0.00              0.00             0.02               113.69   
0.02            0.00             0.00              0.00             0.02               113.71   
0.02            0.00             0.00              0.00             0.02               113.73   
0.02            0.00             0.00              0.00             0.02               113.75   
0.02            0.00             0.00              0.00             0.02               113.77   
0.02            0.00             0.00              0.00             0.02               113.79   
0.01            0.00             0.00              0.00             0.01               113.80   
0.02            0.00             0.00              0.00             0.02               113.82   
0.02            0.00             0.00              0.00             0.02               113.84   
0.03            0.00             0.00              0.00             0.03               113.87   
0.02            0.00             0.00              0.00             0.02               113.89   
0.01            0.00             0.00              0.00             0.01               113.90   
0.01            0.00             0.00              0.00             0.01               113.91   
0.00            0.00             0.00              1.45             1.45               115.36   
