Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             4.52              0.00             4.52               138.19   
0.13            0.05             0.00              0.00             0.18               138.37   
0.03            0.03             0.00              0.00             0.06               138.43   
0.02            0.01             0.00              0.00             0.03               138.46   
0.02            0.01             0.00              0.00             0.03               138.49   
0.02            0.01             0.00              0.00             0.03               138.52   
0.02            0.02             0.00              0.00             0.04               138.56   
0.02            0.01             0.00              0.00             0.03               138.59   
0.02            0.00             0.00              0.00             0.02               138.61   
0.02            0.00             0.00              0.00             0.02               138.63   
0.02            0.00             0.00              0.00             0.02               138.65   
0.01            0.00             0.00              0.00             0.01               138.66   
0.01            0.00             0.00              0.00             0.01               138.67   
0.02            0.00             0.00              0.00             0.02               138.69   
0.01            0.00             0.00              0.00             0.01               138.70   
0.02            0.00             0.00              0.00             0.02               138.72   
0.00            0.00             0.00              1.63             1.63               140.35   
