Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             8.37              0.00             8.37               135.34   
0.10            0.06             0.00              0.00             0.16               135.50   
0.02            0.04             0.00              0.00             0.06               135.56   
0.02            0.01             0.00              0.00             0.03               135.59   
0.01            0.04             0.00              0.00             0.05               135.64   
0.01            0.01             0.00              0.00             0.02               135.66   
0.01            0.01             0.00              0.00             0.02               135.68   
0.01            0.02             0.00              0.00             0.03               135.71   
0.01            0.01             0.00              0.00             0.02               135.73   
0.01            0.01             0.00              0.00             0.02               135.75   
0.01            0.01             0.00              0.00             0.02               135.77   
0.01            0.00             0.00              0.00             0.01               135.78   
0.01            0.00             0.00              0.00             0.01               135.79   
0.01            0.00             0.00              0.00             0.01               135.80   
0.01            0.00             0.00              0.00             0.01               135.81   
0.01            0.00             0.00              0.00             0.01               135.82   
0.01            0.00             0.00              0.00             0.01               135.83   
0.01            0.00             0.00              0.00             0.01               135.84   
0.01            0.00             0.00              0.00             0.01               135.85   
0.01            0.00             0.00              0.00             0.01               135.86   
0.01            0.00             0.00              0.00             0.01               135.87   
0.01            0.00             0.00              0.00             0.01               135.88   
0.01            0.00             0.00              0.00             0.01               135.89   
0.01            0.00             0.00              0.00             0.01               135.90   
0.01            0.00             0.00              0.00             0.01               135.91   
0.00            0.00             0.00              1.60             1.60               137.51   
